series,estimated_min,step,probe_loss,mean_step_s
LOZO full nu50,16.565025,1230,0.6115,0.80805
LOZO full nu50,16.699700,1240,0.4327,0.80805
LOZO full nu50,16.834375,1250,0.5976,0.80805
LOZO full nu50,16.969050,1260,0.4636,0.80805
LOZO full nu50,17.103725,1270,0.5386,0.80805
LOZO full nu50,17.238400,1280,0.5211,0.80805
LOZO full nu50,17.373075,1290,0.4806,0.80805
LOZO full nu50,17.507750,1300,0.5143,0.80805
LOZO full nu50,17.642425,1310,0.5842,0.80805
LOZO full nu50,17.777100,1320,0.519,0.80805
LOZO full nu50,17.911775,1330,0.5792,0.80805
LOZO full nu50,18.046450,1340,0.5228,0.80805
LOZO full nu50,18.181125,1350,0.5162,0.80805
LOZO full nu50,18.315800,1360,0.4959,0.80805
LOZO full nu50,18.450475,1370,0.5712,0.80805
LOZO full nu50,18.585150,1380,0.6838,0.80805
LOZO full nu50,18.719825,1390,0.5264,0.80805
LOZO full nu50,18.854500,1400,0.5512,0.80805
LOZO full nu50,18.989175,1410,0.5593,0.80805
LOZO full nu50,19.123850,1420,0.5505,0.80805
LOZO full nu50,19.258525,1430,0.577,0.80805
LOZO full nu50,19.393200,1440,0.5489,0.80805
LOZO full nu50,19.527875,1450,0.5161,0.80805
LOZO full nu50,19.662550,1460,0.4916,0.80805
LOZO full nu50,19.797225,1470,0.602,0.80805
LOZO full nu50,19.931900,1480,0.6137,0.80805
LOZO full nu50,20.066575,1490,0.5338,0.80805
LOZO full nu50,20.201250,1500,0.592,0.80805
LOZO full nu50,20.335925,1510,0.5002,0.80805
LOZO full nu50,20.470600,1520,0.4922,0.80805
LOZO full nu50,20.605275,1530,0.6119,0.80805
LOZO full nu50,20.739950,1540,0.4624,0.80805
LOZO full nu50,20.874625,1550,0.5548,0.80805
LOZO full nu50,21.009300,1560,0.5388,0.80805
LOZO full nu50,21.143975,1570,0.5537,0.80805
LOZO full nu50,21.278650,1580,0.5328,0.80805
LOZO full nu50,21.413325,1590,0.5074,0.80805
LOZO full nu50,21.548000,1600,0.5639,0.80805
LOZO full nu50,21.682675,1610,0.588,0.80805
LOZO full nu50,21.817350,1620,0.5605,0.80805
LOZO full nu50,21.952025,1630,0.4797,0.80805
LOZO full nu50,22.086700,1640,0.5086,0.80805
LOZO full nu50,22.221375,1650,0.5695,0.80805
LOZO full nu50,22.356050,1660,0.5211,0.80805
LOZO full nu50,22.490725,1670,0.5019,0.80805
LOZO full nu50,22.625400,1680,0.5115,0.80805
LOZO full nu50,22.760075,1690,0.5646,0.80805
LOZO full nu50,22.894750,1700,0.5111,0.80805
LOZO full nu50,23.029425,1710,0.4709,0.80805
LOZO full nu50,23.164100,1720,0.5351,0.80805
LOZO full nu50,23.298775,1730,0.5704,0.80805
LOZO full nu50,23.433450,1740,0.5156,0.80805
LOZO full nu50,23.568125,1750,0.5354,0.80805
LOZO full nu50,23.702800,1760,0.5528,0.80805
LOZO full nu50,23.837475,1770,0.534,0.80805
LOZO full nu50,23.972150,1780,0.5218,0.80805
LOZO full nu50,24.106825,1790,0.5697,0.80805
LOZO full nu50,24.241500,1800,0.5671,0.80805
LOZO full nu50,24.376175,1810,0.4999,0.80805
LOZO full nu50,24.510850,1820,0.6276,0.80805
LOZO full nu50,24.645525,1830,0.4916,0.80805
LOZO full nu50,24.780200,1840,0.5074,0.80805
LOZO full nu50,24.914875,1850,0.4836,0.80805
LOZO full nu50,25.049550,1860,0.5069,0.80805
LOZO full nu50,25.184225,1870,0.4974,0.80805
LOZO full nu50,25.318900,1880,0.4665,0.80805
LOZO full nu50,25.453575,1890,0.5205,0.80805
LOZO full nu50,25.588250,1900,0.5538,0.80805
LOZO full nu50,25.722925,1910,0.5011,0.80805
LOZO full nu50,25.857600,1920,0.4771,0.80805
LOZO full nu50,25.992275,1930,0.5441,0.80805
LOZO full nu50,26.126950,1940,0.4725,0.80805
LOZO full nu50,26.261625,1950,0.4847,0.80805
LOZO full nu50,26.396300,1960,0.4911,0.80805
LOZO full nu50,26.530975,1970,0.5216,0.80805
LOZO full nu50,26.665650,1980,0.5292,0.80805
LOZO full nu50,26.800325,1990,0.4518,0.80805
LOZO full nu50,26.935000,2000,0.4995,0.80805
LOZO full nu50,27.069675,2010,0.5185,0.80805
LOZO full nu50,27.204350,2020,0.4346,0.80805
LOZO full nu50,27.339025,2030,0.5073,0.80805
LOZO full nu50,27.473700,2040,0.4906,0.80805
LOZO full nu50,27.608375,2050,0.5583,0.80805
LOZO full nu50,27.743050,2060,0.4781,0.80805
LOZO full nu50,27.877725,2070,0.5312,0.80805
LOZO full nu50,28.012400,2080,0.5137,0.80805
LOZO full nu50,28.147075,2090,0.4839,0.80805
LOZO full nu50,28.281750,2100,0.5344,0.80805
LOZO full nu50,28.416425,2110,0.5296,0.80805
LOZO full nu50,28.551100,2120,0.4999,0.80805
LOZO full nu50,28.685775,2130,0.5676,0.80805
LOZO full nu50,28.820450,2140,0.5088,0.80805
LOZO full nu50,28.955125,2150,0.5866,0.80805
LOZO full nu50,29.089800,2160,0.4906,0.80805
LOZO full nu50,29.224475,2170,0.4903,0.80805
LOZO full nu50,29.359150,2180,0.4802,0.80805
LOZO full nu50,29.493825,2190,0.5632,0.80805
LOZO full nu50,29.628500,2200,0.4288,0.80805
LOZO full nu50,29.763175,2210,0.5703,0.80805
LOZO full nu50,29.897850,2220,0.4256,0.80805
LOZO full nu50,30.032525,2230,0.486,0.80805
LOZO full nu50,30.167200,2240,0.5043,0.80805
LOZO full nu50,30.301875,2250,0.5491,0.80805
LOZO full nu50,30.436550,2260,0.5067,0.80805
LOZO full nu50,30.571225,2270,0.4534,0.80805
LOZO full nu50,30.705900,2280,0.5045,0.80805
LOZO full nu50,30.840575,2290,0.4496,0.80805
LOZO full nu50,30.975250,2300,0.513,0.80805
LOZO full nu50,31.109925,2310,0.4657,0.80805
LOZO full nu50,31.244600,2320,0.5338,0.80805
LOZO full nu50,31.379275,2330,0.4627,0.80805
LOZO full nu50,31.513950,2340,0.5584,0.80805
LOZO full nu50,31.648625,2350,0.4553,0.80805
LOZO full nu50,31.783300,2360,0.456,0.80805
LOZO full nu50,31.917975,2370,0.5084,0.80805
LOZO full nu50,32.052650,2380,0.4916,0.80805
LOZO full nu50,32.187325,2390,0.4841,0.80805
LOZO full nu50,32.322000,2400,0.442,0.80805
LOZO full nu50,32.456675,2410,0.4646,0.80805
LOZO full nu50,32.591350,2420,0.4875,0.80805
LOZO full nu50,32.726025,2430,0.4478,0.80805
LOZO full nu50,32.860700,2440,0.532,0.80805
LOZO full nu50,32.995375,2450,0.4819,0.80805
LOZO full nu50,33.130050,2460,0.5726,0.80805
LOZO full nu50,33.264725,2470,0.5306,0.80805
LOZO full nu50,33.399400,2480,0.4962,0.80805
LOZO full nu50,33.534075,2490,0.4778,0.80805
LOZO full nu50,33.668750,2500,0.5437,0.80805
LOZO full nu50,33.803425,2510,0.5224,0.80805
LOZO full nu50,33.938100,2520,0.5331,0.80805
LOZO full nu50,34.072775,2530,0.53,0.80805
LOZO full nu50,34.207450,2540,0.5468,0.80805
LOZO full nu50,34.342125,2550,0.4984,0.80805
LOZO full nu50,34.476800,2560,0.5041,0.80805
LOZO full nu50,34.611475,2570,0.4898,0.80805
LOZO full nu50,34.746150,2580,0.5253,0.80805
LOZO full nu50,34.880825,2590,0.5707,0.80805
LOZO full nu50,35.015500,2600,0.4594,0.80805
LOZO full nu50,35.150175,2610,0.5398,0.80805
LOZO full nu50,35.284850,2620,0.4731,0.80805
LOZO full nu50,35.419525,2630,0.5009,0.80805
LOZO full nu50,35.554200,2640,0.3954,0.80805
LOZO full nu50,35.688875,2650,0.4635,0.80805
LOZO full nu50,35.823550,2660,0.4267,0.80805
LOZO full nu50,35.958225,2670,0.4813,0.80805
LOZO full nu50,36.092900,2680,0.4259,0.80805
LOZO full nu50,36.227575,2690,0.4917,0.80805
LOZO full nu50,36.362250,2700,0.4725,0.80805
LOZO full nu50,36.496925,2710,0.4622,0.80805
LOZO full nu50,36.631600,2720,0.5444,0.80805
LOZO full nu50,36.766275,2730,0.4326,0.80805
LOZO full nu50,36.900950,2740,0.4917,0.80805
LOZO full nu50,37.035625,2750,0.4525,0.80805
LOZO full nu50,37.170300,2760,0.4764,0.80805
LOZO full nu50,37.304975,2770,0.5451,0.80805
LOZO full nu50,37.439650,2780,0.5671,0.80805
LOZO full nu50,37.574325,2790,0.4682,0.80805
LOZO full nu50,37.709000,2800,0.5049,0.80805
LOZO full nu50,37.843675,2810,0.4259,0.80805
LOZO full nu50,37.978350,2820,0.4529,0.80805
LOZO full nu50,38.113025,2830,0.4626,0.80805
LOZO full nu50,38.247700,2840,0.4727,0.80805
LOZO full nu50,38.382375,2850,0.4142,0.80805
LOZO full nu50,38.517050,2860,0.4959,0.80805
LOZO full nu50,38.651725,2870,0.4647,0.80805
LOZO full nu50,38.786400,2880,0.4971,0.80805
LOZO full nu50,38.921075,2890,0.4742,0.80805
LOZO full nu50,39.055750,2900,0.4692,0.80805
LOZO full nu50,39.190425,2910,0.5043,0.80805
LOZO full nu50,39.325100,2920,0.4824,0.80805
LOZO full nu50,39.459775,2930,0.4565,0.80805
LOZO full nu50,39.594450,2940,0.4316,0.80805
LOZO full nu50,39.729125,2950,0.4509,0.80805
LOZO full nu50,39.863800,2960,0.5142,0.80805
LOZO full nu50,39.998475,2970,0.495,0.80805
LOZO full nu50,40.133150,2980,0.4673,0.80805
LOZO full nu50,40.267825,2990,0.4828,0.80805
LOZO full nu50,40.402500,3000,0.5624,0.80805
LOZO full nu50,40.537175,3010,0.4874,0.80805
LOZO full nu50,40.671850,3020,0.4906,0.80805
LOZO full nu50,40.806525,3030,0.5203,0.80805
LOZO full nu50,40.941200,3040,0.4397,0.80805
LOZO full nu50,41.075875,3050,0.4309,0.80805
LOZO full nu50,41.210550,3060,0.4667,0.80805
LOZO full nu50,41.345225,3070,0.4714,0.80805
LOZO full nu50,41.479900,3080,0.4859,0.80805
LOZO full nu50,41.614575,3090,0.4496,0.80805
LOZO full nu50,41.749250,3100,0.4791,0.80805
LOZO full nu50,41.883925,3110,0.4612,0.80805
LOZO full nu50,42.018600,3120,0.388,0.80805
LOZO full nu50,42.153275,3130,0.4722,0.80805
LOZO full nu50,42.287950,3140,0.4654,0.80805
LOZO full nu50,42.422625,3150,0.4753,0.80805
LOZO full nu50,42.557300,3160,0.3995,0.80805
LOZO full nu50,42.691975,3170,0.4758,0.80805
LOZO full nu50,42.826650,3180,0.5094,0.80805
LOZO full nu50,42.961325,3190,0.4784,0.80805
LOZO full nu50,43.096000,3200,0.4076,0.80805
LOZO full nu50,43.230675,3210,0.5098,0.80805
LOZO full nu50,43.365350,3220,0.5598,0.80805
LOZO full nu50,43.500025,3230,0.458,0.80805
LOZO full nu50,43.634700,3240,0.4295,0.80805
LOZO full nu50,43.769375,3250,0.4547,0.80805
LOZO full nu50,43.904050,3260,0.4484,0.80805
LOZO full nu50,44.038725,3270,0.4175,0.80805
LOZO full nu50,44.173400,3280,0.5292,0.80805
LOZO full nu50,44.308075,3290,0.4785,0.80805
LOZO full nu50,44.442750,3300,0.4711,0.80805
LOZO full nu50,44.577425,3310,0.4059,0.80805
LOZO full nu50,44.712100,3320,0.4761,0.80805
LOZO full nu50,44.846775,3330,0.4756,0.80805
LOZO full nu50,44.981450,3340,0.4156,0.80805
LOZO full nu50,45.116125,3350,0.4711,0.80805
LOZO full nu50,45.250800,3360,0.448,0.80805
LOZO full nu50,45.385475,3370,0.4065,0.80805
LOZO full nu50,45.520150,3380,0.4645,0.80805
LOZO full nu50,45.654825,3390,0.4072,0.80805
LOZO full nu50,45.789500,3400,0.4429,0.80805
LOZO full nu50,45.924175,3410,0.417,0.80805
LOZO full nu50,46.058850,3420,0.4333,0.80805
LOZO full nu50,46.193525,3430,0.4731,0.80805
LOZO full nu50,46.328200,3440,0.447,0.80805
LOZO full nu50,46.462875,3450,0.4238,0.80805
LOZO full nu50,46.597550,3460,0.4219,0.80805
LOZO full nu50,46.732225,3470,0.426,0.80805
LOZO full nu50,46.866900,3480,0.4361,0.80805
LOZO full nu50,47.001575,3490,0.4325,0.80805
LOZO full nu50,47.136250,3500,0.3762,0.80805
LOZO full nu50,47.270925,3510,0.4811,0.80805
LOZO full nu50,47.405600,3520,0.4001,0.80805
LOZO full nu50,47.540275,3530,0.5177,0.80805
LOZO full nu50,47.674950,3540,0.477,0.80805
LOZO full nu50,47.809625,3550,0.445,0.80805
LOZO full nu50,47.944300,3560,0.5526,0.80805
LOZO full nu50,48.078975,3570,0.4302,0.80805
LOZO full nu50,48.213650,3580,0.3874,0.80805
LOZO full nu50,48.348325,3590,0.3996,0.80805
LOZO full nu50,48.483000,3600,0.4415,0.80805
LOZO full nu50,48.617675,3610,0.4318,0.80805
LOZO full nu50,48.752350,3620,0.4469,0.80805
LOZO full nu50,48.887025,3630,0.4503,0.80805
LOZO full nu50,49.021700,3640,0.4243,0.80805
LOZO full nu50,49.156375,3650,0.4402,0.80805
LOZO full nu50,49.291050,3660,0.3934,0.80805
LOZO full nu50,49.425725,3670,0.4899,0.80805
LOZO full nu50,49.560400,3680,0.4168,0.80805
LOZO full nu50,49.695075,3690,0.4351,0.80805
