series,step,probe_loss
LOZO full nu50,1950,0.4847
LOZO full nu50,1960,0.4911
LOZO full nu50,1970,0.5216
LOZO full nu50,1980,0.5292
LOZO full nu50,1990,0.4518
LOZO full nu50,2000,0.4995
LOZO full nu50,2010,0.5185
LOZO full nu50,2020,0.4346
LOZO full nu50,2030,0.5073
LOZO full nu50,2040,0.4906
LOZO full nu50,2050,0.5583
LOZO full nu50,2060,0.4781
LOZO full nu50,2070,0.5312
LOZO full nu50,2080,0.5137
LOZO full nu50,2090,0.4839
LOZO full nu50,2100,0.5344
LOZO full nu50,2110,0.5296
LOZO full nu50,2120,0.4999
LOZO full nu50,2130,0.5676
LOZO full nu50,2140,0.5088
LOZO full nu50,2150,0.5866
LOZO full nu50,2160,0.4906
LOZO full nu50,2170,0.4903
LOZO full nu50,2180,0.4802
LOZO full nu50,2190,0.5632
LOZO full nu50,2200,0.4288
LOZO full nu50,2210,0.5703
LOZO full nu50,2220,0.4256
LOZO full nu50,2230,0.486
LOZO full nu50,2240,0.5043
LOZO full nu50,2250,0.5491
LOZO full nu50,2260,0.5067
LOZO full nu50,2270,0.4534
LOZO full nu50,2280,0.5045
LOZO full nu50,2290,0.4496
LOZO full nu50,2300,0.513
LOZO full nu50,2310,0.4657
LOZO full nu50,2320,0.5338
LOZO full nu50,2330,0.4627
LOZO full nu50,2340,0.5584
LOZO full nu50,2350,0.4553
LOZO full nu50,2360,0.456
LOZO full nu50,2370,0.5084
LOZO full nu50,2380,0.4916
LOZO full nu50,2390,0.4841
LOZO full nu50,2400,0.442
LOZO full nu50,2410,0.4646
LOZO full nu50,2420,0.4875
LOZO full nu50,2430,0.4478
LOZO full nu50,2440,0.532
LOZO full nu50,2450,0.4819
LOZO full nu50,2460,0.5726
LOZO full nu50,2470,0.5306
LOZO full nu50,2480,0.4962
LOZO full nu50,2490,0.4778
LOZO full nu50,2500,0.5437
LOZO full nu50,2510,0.5224
LOZO full nu50,2520,0.5331
LOZO full nu50,2530,0.53
LOZO full nu50,2540,0.5468
LOZO full nu50,2550,0.4984
LOZO full nu50,2560,0.5041
LOZO full nu50,2570,0.4898
LOZO full nu50,2580,0.5253
LOZO full nu50,2590,0.5707
LOZO full nu50,2600,0.4594
LOZO full nu50,2610,0.5398
LOZO full nu50,2620,0.4731
LOZO full nu50,2630,0.5009
LOZO full nu50,2640,0.3954
LOZO full nu50,2650,0.4635
LOZO full nu50,2660,0.4267
LOZO full nu50,2670,0.4813
LOZO full nu50,2680,0.4259
LOZO full nu50,2690,0.4917
LOZO full nu50,2700,0.4725
LOZO full nu50,2710,0.4622
LOZO full nu50,2720,0.5444
LOZO full nu50,2730,0.4326
LOZO full nu50,2740,0.4917
LOZO full nu50,2750,0.4525
LOZO full nu50,2760,0.4764
LOZO full nu50,2770,0.5451
LOZO full nu50,2780,0.5671
LOZO full nu50,2790,0.4682
LOZO full nu50,2800,0.5049
LOZO full nu50,2810,0.4259
LOZO full nu50,2820,0.4529
LOZO full nu50,2830,0.4626
LOZO full nu50,2840,0.4727
LOZO full nu50,2850,0.4142
LOZO full nu50,2860,0.4959
LOZO full nu50,2870,0.4647
LOZO full nu50,2880,0.4971
LOZO full nu50,2890,0.4742
LOZO full nu50,2900,0.4692
LOZO full nu50,2910,0.5043
LOZO full nu50,2920,0.4824
LOZO full nu50,2930,0.4565
LOZO full nu50,2940,0.4316
LOZO full nu50,2950,0.4509
LOZO full nu50,2960,0.5142
LOZO full nu50,2970,0.495
LOZO full nu50,2980,0.4673
LOZO full nu50,2990,0.4828
LOZO full nu50,3000,0.5624
LOZO full nu50,3010,0.4874
LOZO full nu50,3020,0.4906
LOZO full nu50,3030,0.5203
LOZO full nu50,3040,0.4397
LOZO full nu50,3050,0.4309
LOZO full nu50,3060,0.4667
LOZO full nu50,3070,0.4714
LOZO full nu50,3080,0.4859
LOZO full nu50,3090,0.4496
LOZO full nu50,3100,0.4791
LOZO full nu50,3110,0.4612
LOZO full nu50,3120,0.388
LOZO full nu50,3130,0.4722
LOZO full nu50,3140,0.4654
LOZO full nu50,3150,0.4753
LOZO full nu50,3160,0.3995
LOZO full nu50,3170,0.4758
LOZO full nu50,3180,0.5094
LOZO full nu50,3190,0.4784
LOZO full nu50,3200,0.4076
LOZO full nu50,3210,0.5098
LOZO full nu50,3220,0.5598
LOZO full nu50,3230,0.458
LOZO full nu50,3240,0.4295
LOZO full nu50,3250,0.4547
LOZO full nu50,3260,0.4484
LOZO full nu50,3270,0.4175
LOZO full nu50,3280,0.5292
LOZO full nu50,3290,0.4785
LOZO full nu50,3300,0.4711
LOZO full nu50,3310,0.4059
LOZO full nu50,3320,0.4761
LOZO full nu50,3330,0.4756
LOZO full nu50,3340,0.4156
LOZO full nu50,3350,0.4711
LOZO full nu50,3360,0.448
LOZO full nu50,3370,0.4065
LOZO full nu50,3380,0.4645
LOZO full nu50,3390,0.4072
LOZO full nu50,3400,0.4429
LOZO full nu50,3410,0.417
LOZO full nu50,3420,0.4333
LOZO full nu50,3430,0.4731
LOZO full nu50,3440,0.447
LOZO full nu50,3450,0.4238
LOZO full nu50,3460,0.4219
LOZO full nu50,3470,0.426
LOZO full nu50,3480,0.4361
LOZO full nu50,3490,0.4325
LOZO full nu50,3500,0.3762
LOZO full nu50,3510,0.4811
LOZO full nu50,3520,0.4001
LOZO full nu50,3530,0.5177
LOZO full nu50,3540,0.477
LOZO full nu50,3550,0.445
LOZO full nu50,3560,0.5526
LOZO full nu50,3570,0.4302
LOZO full nu50,3580,0.3874
LOZO full nu50,3590,0.3996
LOZO full nu50,3600,0.4415
LOZO full nu50,3610,0.4318
LOZO full nu50,3620,0.4469
LOZO full nu50,3630,0.4503
LOZO full nu50,3640,0.4243
LOZO full nu50,3650,0.4402
LOZO full nu50,3660,0.3934
LOZO full nu50,3670,0.4899
LOZO full nu50,3680,0.4168
LOZO full nu50,3690,0.4351
LOZO full nu50,3700,0.4755
LOZO full nu50,3710,0.4695
LOZO full nu50,3720,0.4538
LOZO full nu50,3730,0.4512
LOZO full nu50,3740,0.4954
LOZO full nu50,3750,0.4744
LOZO full nu50,3760,0.4036
LOZO full nu50,3770,0.4163
LOZO full nu50,3780,0.4148
LOZO full nu50,3790,0.4272
LOZO full nu50,3800,0.3538
LOZO full nu50,3810,0.4113
LOZO full nu50,3820,0.4659
LOZO full nu50,3830,0.4619
LOZO full nu50,3840,0.4158
LOZO full nu50,3850,0.4171
LOZO full nu50,3860,0.4708
LOZO full nu50,3870,0.4177
LOZO full nu50,3880,0.441
LOZO full nu50,3890,0.5251
LOZO full nu50,3900,0.4767
LOZO full nu50,3910,0.4269
LOZO full nu50,3920,0.4855
LOZO full nu50,3930,0.4516
LOZO full nu50,3940,0.4273
LOZO full nu50,3950,0.5138
LOZO full nu50,3960,0.4453
LOZO full nu50,3970,0.3732
LOZO full nu50,3980,0.3915
LOZO full nu50,3990,0.3561
LOZO full nu50,4000,0.4021
LOZO full nu50,4010,0.4348
LOZO full nu50,4020,0.513
LOZO full nu50,4030,0.4374
LOZO full nu50,4040,0.4509
LOZO full nu50,4050,0.4029
LOZO full nu50,4060,0.4619
LOZO full nu50,4070,0.4612
LOZO full nu50,4080,0.3738
LOZO full nu50,4090,0.3869
LOZO full nu50,4100,0.4628
LOZO full nu50,4110,0.491
LOZO full nu50,4120,0.3433
LOZO full nu50,4130,0.4516
LOZO full nu50,4140,0.4959
LOZO full nu50,4150,0.4318
LOZO full nu50,4160,0.4323
LOZO full nu50,4170,0.4022
LOZO full nu50,4180,0.4338
LOZO full nu50,4190,0.4435
LOZO full nu50,4200,0.4642
LOZO full nu50,4210,0.4638
LOZO full nu50,4220,0.3806
LOZO full nu50,4230,0.4722
LOZO full nu50,4240,0.4559
LOZO full nu50,4250,0.436
LOZO full nu50,4260,0.4244
LOZO full nu50,4270,0.4653
LOZO full nu50,4280,0.4447
LOZO full nu50,4290,0.4535
LOZO full nu50,4300,0.4715
LOZO full nu50,4310,0.4809
LOZO full nu50,4320,0.3998
LOZO full nu50,4330,0.4239
LOZO full nu50,4340,0.3959
LOZO full nu50,4350,0.4088
LOZO full nu50,4360,0.4507
LOZO full nu50,4370,0.384
LOZO full nu50,4380,0.3928
LOZO full nu50,4390,0.4263
LOZO full nu50,4400,0.4109
LOZO full nu50,4410,0.451
LOZO full nu50,4420,0.4064
LOZO full nu50,4430,0.3799
LOZO full nu50,4440,0.4524
LOZO full nu50,4450,0.3883
LOZO full nu50,4460,0.4166
LOZO full nu50,4470,0.424
LOZO full nu50,4480,0.4631
LOZO full nu50,4490,0.4147
LOZO full nu50,4500,0.3785
LOZO full nu50,4510,0.4247
LOZO full nu50,4520,0.4241
LOZO full nu50,4530,0.5236
LOZO full nu50,4540,0.3626
LOZO full nu50,4550,0.4117
LOZO full nu50,4560,0.4654
LOZO full nu50,4570,0.3731
LOZO full nu50,4580,0.4019
LOZO full nu50,4590,0.396
LOZO full nu50,4600,0.463
LOZO full nu50,4610,0.4343
LOZO full nu50,4620,0.421
LOZO full nu50,4630,0.409
LOZO full nu50,4640,0.4613
LOZO full nu50,4650,0.4194
LOZO full nu50,4660,0.4751
LOZO full nu50,4670,0.4074
LOZO full nu50,4680,0.4076
LOZO full nu50,4690,0.449
LOZO full nu50,4700,0.4393
LOZO full nu50,4710,0.3881
LOZO full nu50,4720,0.4467
LOZO full nu50,4730,0.337
LOZO full nu50,4740,0.4331
LOZO full nu50,4750,0.3754
LOZO full nu50,4760,0.3708
LOZO full nu50,4770,0.4774
LOZO full nu50,4780,0.4186
LOZO full nu50,4790,0.4419
LOZO full nu50,4800,0.4195
LOZO full nu50,4810,0.4619
LOZO full nu50,4820,0.3719
LOZO full nu50,4830,0.4141
LOZO full nu50,4840,0.4132
LOZO full nu50,4850,0.414
LOZO full nu50,4860,0.4601
LOZO full nu50,4870,0.4508
LOZO full nu50,4880,0.4145
LOZO full nu50,4890,0.4183
LOZO full nu50,4900,0.5014
LOZO full nu50,4910,0.3849
LOZO full nu50,4920,0.4384
LOZO full nu50,4930,0.3823
LOZO full nu50,4940,0.4368
LOZO full nu50,4950,0.4478
LOZO full nu50,4960,0.4676
LOZO full nu50,4970,0.342
LOZO full nu50,4980,0.4627
LOZO full nu50,4990,0.3545
LOZO full nu50,5000,0.484
LOZO full nu50,5010,0.4276
LOZO full nu50,5020,0.3978
LOZO full nu50,5030,0.4081
LOZO full nu50,5040,0.4473
LOZO full nu50,5050,0.4083
LOZO full nu50,5060,0.4293
LOZO full nu50,5070,0.3901
LOZO lora_only nu50,10,0.8526
LOZO lora_only nu50,20,0.944
LOZO lora_only nu50,30,0.8619
LOZO lora_only nu50,40,0.8677
LOZO lora_only nu50,50,0.919
LOZO lora_only nu50,60,0.7385
LOZO lora_only nu50,70,0.9685
LOZO lora_only nu50,80,0.7803
